TSP Name,TSP,Location,Location_Name,Location_Zone,Loc_Purp,All_Qty_Avail,Loc/QTI,Flow_Ind,IT,Design_Capacity,Operational_Capacity,TSQ,OAC,Eff_Gas_Day/Time,CycleDesc,Posting_Date/Time,Measurement_Basis,Pressure_Base
Kinetica Partners LLC,17960426,12838,012838-T-E I 224 G: RIP 523M 8101,1.0,M2,Y,RDQ,R,Y,44485,44485,1900,42584,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11802,011802-T-SS 198 J,1.0,M2,Y,RDQ,R,Y,109110,109110,3,109110,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,20554,020554-T-LIRETTE TPORT,1.0,MQ,Y,RDQ,D,Y,97593,81000,23329,57670,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10442,010442-T-TIMBALIER BAY DEHY,1.0,M2,Y,RDQ,R,Y,64530,64530,50,64480,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12812,012812-T-LONGHORN MEDUSA SP 55A: RIP 527A 2001,1.0,M2,Y,RDQ,R,Y,223450,223450,5135,218316,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11691,011691-T-SS 181 B,1.0,M2,Y,RDQ,R,N,61657,61657,5556,56102,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,18036,018036-T-SMI 99,1.0,M2,Y,RDQ,R,N,92192,92192,3811,88381,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,50130,050130-T-PORT SULPHUR FLASH DEL,1.0,MQ,Y,RDQ,D,N,2000,2000,0,2000,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10210,010210-T-GRAND CHENIER DEHY,1.0,M2,Y,RDQ,R,Y,25828,25828,50,25778,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12714,012714-T-LAKE WASHINGTON SL 212,1.0,M2,Y,RDQ,R,Y,48565,48565,4430,44136,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11210,011210-T-SMI  27 A,1.0,M2,Y,RDQ,R,Y,35821,35821,7000,28821,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14017,014017-T-VR 78,1.0,M2,Y,RDQ,R,Y,6000,6000,2982,3018,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12644,012644-T-SS BLK 110 A,1.0,M2,Y,RDQ,R,Y,31993,31993,4683,27310,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24026,024026-T-HARVEST WHITE LAKE,1.0,MQ,Y,RDQ,D,Y,52459,52459,57170,0,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11180,011180-T-SS 198 H,1.0,M2,Y,RDQ,R,Y,173474,173474,359,173114,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14013,014013-T-SS 169C RIP 523M-2911,1.0,M2,Y,RDQ,R,N,4500,4500,0,4500,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12559,012559-T-W CAM BLK 167 DEEP WATER LINK,1.0,M2,Y,RDQ,R,Y,400000,95000,29401,65600,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24024,024024-T-SS 193A BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4500,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10932,010932-T-SS  154 E,1.0,M2,Y,RDQ,R,N,72204,72204,0,72204,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14011,014011-T-SS 182C #2 RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,751,3750,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12438,012438-T-SNOW WELL,1.0,M2,Y,RDQ,R,Y,21000,21000,150,20850,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24020,024020-T-SP 24 Buyback,1.0,MQ,Y,RDQ,D,Y,2500,2500,1350,1150,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10688,010688-T-LAKE RACCOURCI DEHY,1.0,M2,Y,RDQ,R,Y,39193,39193,5725,33468,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14006,014006-T- Miami Corp,1.0,M2,Y,RDQ,R,Y,18000,18000,1700,16301,07/15/2022 06:00:00 PM,Intraday 2,07/15/2022 04:36:40 PM,Million BTUs (DTH),14.73 psia
